ra_txt,dec_txt,equinox,x,y,fwhm,fwhm_x,fwhm_y,encircled_energy,ensquared_energy,ee_sampling_radius,starsize,ellipse,background,skylevel,brightness,time_local,time_ut,ra_deg,dec_deg
BAD WCS,BAD WCS,2000.0,536.0132489563921,1473.2720705952045,4.905424252861294,4.885388909039586,4.925378098029894,0.5881759562456512,0.5960659059083188,2.5,17659.380612725065,0.9918809910235514,1419.3082275390625,1530.2736389160157,9016.636155685777,2022-04-17 15:03:44,2022-04-17 06:03:44,0.0,0.0
BAD WCS,BAD WCS,2000.0,1358.957956239198,257.9630157442152,4.744262996508877,4.76842526775197,4.719977036591528,0.5535680781051215,0.5626006731077258,2.5,17079.124147818296,0.9898397839034851,1438.060925292969,1549.9639715576175,10638.878450081054,2022-04-17 15:04:53,2022-04-17 06:04:53,0.0,0.0
BAD WCS,BAD WCS,2000.0,1289.260162238227,566.9326170258649,4.729116648954048,4.751292928658313,4.70683588676196,0.5789839522170466,0.5872302711479676,2.5,17024.631867756492,0.9906431696458448,1439.6343139648438,1551.616029663086,10844.22943593717,2022-04-17 15:05:12,2022-04-17 06:05:12,0.0,0.0
BAD WCS,BAD WCS,2000.0,853.852553271772,995.1928895937538,4.771200743628949,4.783154294900755,4.759217169155379,0.5808907462493796,0.5891773670632865,2.5,17176.268635301043,0.9949955355253969,1426.903076171875,1538.2482299804688,3184.8224372501545,2022-04-17 15:06:34,2022-04-17 06:06:34,0.0,0.0
BAD WCS,BAD WCS,2000.0,222.85757620018583,2038.0164921868736,5.161957891830509,5.055000219644836,5.266743902398637,0.5502373941035937,0.5591454673427505,2.5,18579.139419678253,0.9597960928653915,1412.8775390625,1523.5214160156252,1569.4710621479317,2022-04-17 15:07:00,2022-04-17 06:07:00,0.0,0.0
BAD WCS,BAD WCS,2000.0,2587.7685497525235,2031.182426273114,4.75981315779041,4.783771538370402,4.735733571773935,0.5836311072083823,0.5917047937300873,2.5,17135.10919825981,0.9899581394698393,1427.6897094726562,1539.074194946289,1922.429979059285,2022-04-17 15:07:25,2022-04-17 06:07:25,0.0,0.0
BAD WCS,BAD WCS,2000.0,3108.9812036684484,1673.2352185522857,4.662291556921013,4.669802786617577,4.654768206642801,0.5756068981412145,0.5837149800117848,2.5,16784.22778786868,0.9967804678994452,1430.5559448242188,1542.0837420654298,2381.1541544246093,2022-04-17 15:07:40,2022-04-17 06:07:40,0.0,0.0
BAD WCS,BAD WCS,2000.0,2858.906620163681,1369.684688905993,4.684982533665836,4.693294382614211,4.6766559120411895,0.5687474841545705,0.5771397029104864,2.5,16865.91053037972,0.9964548419049406,1433.452490234375,1545.125114746094,8224.81816807039,2022-04-17 15:07:51,2022-04-17 06:07:51,0.0,0.0
BAD WCS,BAD WCS,2000.0,2593.9329371761028,1268.967895422055,4.682147390184182,4.68872117561186,4.675564362104968,0.558923978310263,0.5677059080723099,2.5,16855.71396789029,0.9971939441450844,1431.435986328125,1543.0077856445312,3407.0927980528713,2022-04-17 15:08:20,2022-04-17 06:08:20,0.0,0.0
BAD WCS,BAD WCS,2000.0,2887.8924331482476,164.21502472362644,4.824272569748876,4.804929110529061,4.843538778336896,0.5717281951920364,0.5801717262684577,2.5,17367.242199958724,0.9920286241992075,1429.6385986328123,1541.120528564453,1155.549336091282,2022-04-17 15:09:03,2022-04-17 06:09:03,0.0,0.0
BAD WCS,BAD WCS,2000.0,598.1178229172218,177.27962285885172,4.794093268400606,4.800341833080174,4.7878365487794685,0.5961368497400183,0.6038572617014963,2.5,17258.721087347356,0.9973949179588568,1432.8778686523438,1544.521762084961,1816.8642018157143,2022-04-17 15:09:57,2022-04-17 06:09:57,0.0,0.0
BAD WCS,BAD WCS,2000.0,616.2234607642695,1114.7538148756287,4.796684226073068,4.78694230710684,4.8064063995616335,0.5801519009042223,0.5881570515594556,2.5,17268.027672003253,0.995950385623536,1422.8092407226563,1533.9497027587893,3168.397973567892,2022-04-17 15:10:23,2022-04-17 06:10:23,0.0,0.0
